Model,Modifications / versions,Global,,,,Local: binary,,,,Local: event type,,,,Local: return time,
,,Accuracy,F1-score,ROC-AUC,Pr-AUC,Accuracy,F1-score,ROC-AUC,Pr-AUC,Accuracy (micro),F1-score (micro),ROC-AUC (weighted),Pr-AUC (weighted),MSE,R2
CoLES,none,0.962 $\pm$ 0.000,0.000 $\pm$ 0.000,0.570 $\pm$ 0.012,0.058 $\pm$ 0.010,0.994 $\pm$ 0.000,0.000 $\pm$ 0.000,0.535 $\pm$ 0.035,0.006 $\pm$ 0.000,0.335 $\pm$ 0.005,0.335 $\pm$ 0.005,0.747 $\pm$ 0.003,0.262 $\pm$ 0.002,,
CoLES,"timestamp, time delta",0.962 $\pm$ 0.000,0.000 $\pm$ 0.000,0.586 $\pm$ 0.012,0.074 $\pm$ 0.012,0.994 $\pm$ 0.000,0.000 $\pm$ 0.000,0.633 $\pm$ 0.064,0.010 $\pm$ 0.004,0.336 $\pm$ 0.004,0.336 $\pm$ 0.004,0.744 $\pm$ 0.002,0.259 $\pm$ 0.002,,
CoLES,TimeCLR sampling,,,,,,,,,,,,,,
CoLES,"on CoLES, seq2seq",,,,,,,,,,,,,,
CoLES,global pooling (mean),0.962 $\pm$ 0.000,0.000 $\pm$ 0.000,0.569 $\pm$ 0.010,0.063 $\pm$ 0.010,0.994 $\pm$ 0.000,0.000 $\pm$ 0.000,0.646 $\pm$ 0.056,0.010 $\pm$ 0.003,0.340 $\pm$ 0.006,0.340 $\pm$ 0.006,0.753  $\pm$ 0.002,0.267  $\pm$ 0.002,,
CoLES,global pooling (max),0.962 $\pm$ 0.000,0.000 $\pm$ 0.000,0.568 $\pm$ 0.010,0.061 $\pm$ 0.011,0.994 $\pm$ 0.000,0.000 $\pm$ 0.000,0.441 $\pm$ 0.109,0.005 $\pm$ 0.001,0.338 $\pm$ 0.006,0.338 $\pm$ 0.006,0.753  $\pm$ 0.002,0.267  $\pm$ 0.001,,
CoLES,global pooling (attention),0.962 $\pm$ 0.000,0.000 $\pm$ 0.000,0.564 $\pm$ 0.007,0.060 $\pm$ 0.008,0.994 $\pm$ 0.000,0.000 $\pm$ 0.000,0.611 $\pm$ 0.060,0.009 $\pm$ 0.003,0.337 $\pm$ 0.007,0.337 $\pm$ 0.007,0.748  $\pm$ 0.003,0.263  $\pm$ 0.001,,
CoLES,global pooling (learnable attention),0.962 $\pm$ 0.000,0.000 $\pm$ 0.000,0.567 $\pm$ 0.013,0.062 $\pm$ 0.008,0.994 $\pm$ 0.000,0.000 $\pm$ 0.000,0.643 $\pm$ 0.091,0.009 $\pm$ 0.004,0.340 $\pm$ 0.006,0.340 $\pm$ 0.006,0.752  $\pm$ 0.002,0.267  $\pm$ 0.002,,
AE,pretrained,0.962 $\pm$ 0.000,0.000 $\pm$ 0.000,0.530 $\pm$0.018,0.106 $\pm$ 0.019,0.994 $\pm$ 0.000,0.000 $\pm$ 0.000,0.498 $\pm$ 0.015,0.006 $\pm$ 0.000,0.313 $\pm$ 0.004,0.313 $\pm$ 0.004,0.728 $\pm$ 0.001,0.249 $\pm$ 0.003,,
AE,from scratch,0.962 $\pm$ 0.000,0.000 $\pm$ 0.000,0.492 $\pm$ 0.077,0.049 $\pm$ 0.011,0.994 $\pm$ 0.000,0.000 $\pm$ 0.000,0.531 $\pm$ 0.046,0.006 $\pm$ 0.000,0.330 $\pm$ 0.014,0.330 $\pm$ 0.014,0.726 $\pm$ 0.003,0.255 $\pm$ 0.002,,
AE,frozen,0.962 $\pm$ 0.000,0.000 $\pm$ 0.000,0.558 $\pm$ 0.008,0.064 $\pm$ 0.008,0.994 $\pm$ 0.000,0.000 $\pm$ 0.000,0.585 $\pm$ 0.017,0.007 $\pm$ 0.000,0.289 $\pm$ 0.000,0.289 $\pm$ 0.000,0.688 $\pm$ 0.003,0.222 $\pm$ 0.002,,
MLM,none,0.962 $\pm$ 0.000,0.000 $\pm$ 0.000,0.535 $\pm$ 0.028,0.058 $\pm$ 0.008,0.994 $\pm$ 0.000,0.000 $\pm$ 0.000,0.560 $\pm$ 0.036,0.008 $\pm$ 0.000,0.341 $\pm$ 0.002,0.341 $\pm$ 0.002,0.752 $\pm$ 0.001,0.263 $\pm$ 0.001,,
TS2Vec,none,0.962 $\pm$ 0.000,0.000 $\pm$ 0.000,0.547 $\pm$ 0.034,0.089 $\pm$ 0.023,0.992 $\pm$ 0.002,0.010 $\pm$ 0.017,0.612 $\pm$ 0.053,0.008 $\pm$ 0.002,0.252 $\pm$ 0.019,0.252 $\pm$ 0.019,0.661 $\pm$ 0.007,0.179 $\pm$ 0.005,,
COTIC,nodup,0.962 $\pm$ 0.000,0.000 $\pm$ 0.000,0.500 $\pm$ 0.046,0.043 $\pm$ 0.004,0.994 $\pm$ 0.000,0.000 $\pm$ 0.000,0.351 $\pm$ 0.012,0.004 $\pm$ 0.000,0.283 $\pm$ 0.022,0.283 $\pm$ 0.022,0.557 $\pm$ 0.015,0.141 $\pm$ 0.005,,
COTIC,large. nodup,0.962 $\pm$ 0.000,0.000 $\pm$ 0.000,0.580 $\pm$ 0.018,0.081 $\pm$ 0.017,0.994 $\pm$ 0.000,0.000 $\pm$ 0.000,0.377 $\pm$ 0.023,0.004 $\pm$ 0.000,0.297 $\pm$ 0.001,0.297 $\pm$ 0.001,0.566 $\pm$ 0.009,0.139 $\pm$ 0.010,,
GPT,v1,0.962 $\pm$ 0.000,0.000 $\pm$ 0.000,0.562 $\pm$ 0.069,0.078 $\pm$ 0.015,0.994 $\pm$ 0.000,0.000 $\pm$ 0.000,0.436 $\pm$ 0.053,0.005 $\pm$ 0.001,0.353 $\pm$ 0.002,0.353 $\pm$ 0.002,0.758 $\pm$ 0.001,0.282 $\pm$ 0001,,
GPT,v2,0.962 $\pm$ 0.000,0.000 $\pm$ 0.000,0.530 $\pm$ 0.033,0.052 $\pm$ 0.013,0.994 $\pm$ 0.000,0.000 $\pm$ 0.000,0.480 $\pm$ 0.037,0.005 $\pm$ 0.000,0.303 $\pm$ 0.015,0.303 $\pm$ 0.015,0.682 $\pm$ 0.029,0.237 $\pm$ 0.011,,